aadb=1,嗷嗷待哺
aajj=1,安安静静
aapp=1,矮矮胖胖
aaqq=1,安安全全
aaww=1,安安稳稳
aaxx=1,安安心心
ab=1,安保
aba=1,爱不爱
abbd=1,按兵不动
abbu=1,哀兵必胜
abdg=1,安邦定国
abdi=1,安步当车
abdy=1,阿鼻地狱
abg=1,熬不过
abhz=1,阿布哈兹
abj=1,矮半截
abjb=1,按部就班
abl=1,阿波罗
ablk=1,爱别离苦
ablm=1,鞍不离马
abuu=1,爱不释手
abv=1,熬不住
abvb=1,阿布扎比
ac=1,按错
acrk=1,爱才若渴
acrm=1,爱财如命
acuj=1,暗藏杀机
acxj=1,暗藏玄机
ad=1,安定
ade=1,安道尔
adic=1,暗渡陈仓
adl=1,奥地利
adly=1,澳大利亚
adwg=1,暗淡无光
adwn=1,安度晚年
ae=1,挨饿
aef=1,阿尔法
aeje=1,阿尔及尔
ael=1,爱尔兰
af=1,安分
afh=1,阿富汗
aft=1,阿凡提
afuj=1,安分守己
ag=1,昂贵
agjy=1,爱岗敬业
agl=1,熬过来
agq=1,熬过去
agt=1,阿根廷
aguy=1,熬更守夜
agv=1,爱国者
agvy=1,爱国主义
ahby=1,哀鸿遍野
ahri=1,安好如初
ahv=1,爱好者
aixy=1,暗潮汹涌
aj=1,安静
ajah=1,挨家挨户
ajcb=1,挨肩擦背
ajl=1,安静了
ajlh=1,安家落户
ajly=1,安居乐业
ajmd=1,阿基米德
ajnf=1,暗箭难防
ajs=1,氨基酸
ajur=1,暗箭伤人
ak=1,拗口
akbk=1,爱看不看
al=1,按理
alb=1,阿拉伯
albb=1,阿里巴巴
albl=1,爱理不理
ald=1,阿拉丁
alfp=1,按劳分配
alh=1,安理会
alpk=1,奥林匹克
alq=1,阿联酋
alqi=1,按劳取酬
als=1,安乐死
alu=1,按理说
alw=1,安乐窝
am=1,暧昧
amag=1,阿猫阿狗
amld=1,鞍马劳顿
amnv=1,爱莫能助
amrz=1,爱民如子
amvx=1,爱美之心
amwq=1,奥妙无穷
amy=1,安眠药
amz=1,爱面子
anbv=1,按捺不住
anby=1,懊恼不已
ap=1,安排
apld=1,安贫乐道
aq=1,安全
aqbv=1,哀其不争
aqdy=1,安全第一
aqg=1,安全感
aqh=1,爱琴海
aqj=1,安全局
aqmh=1,鞍前马后
aqp=1,爱情片
aqrm=1,爱钱如命
ar=1,黯然
artl=1,傲然挺立
artu=1,安如泰山
arus=1,黯然失色
aruu=1,黯然神伤
arwy=1,安然无恙
arxh=1,黯然销魂
aryl=1,傲然屹立
as=1,暗算
asbj=1,阿塞拜疆
asjm=1,爱斯基摩
ask=1,奥斯卡
asl=1,奥斯陆
aspl=1,阿司匹林
asqb=1,暗送秋波
at=1,凹凸
atbp=1,凹凸不平
atj=1,凹透镜
atkq=1,暗通款曲
atm=1,奥特曼
atsj=1,按图索骥
atu=1,安徒生
atyj=1,哀痛欲绝
au=1,按时
auaj=1,碍手碍脚
aubu=1,爱说不说
aukb=1,昂首阔步
aulm=1,安身立命
aum=1,阿诗玛
auny=1,爱沙尼亚
auqx=1,傲视群雄
autq=1,唉声叹气
autx=1,昂首挺胸
auvd=1,安身之地
auvi=1,安身之处
auvl=1,安史之乱
av=1,按照
avb=1,安装版
avew=1,安枕而卧
avff=1,安知非福
avms=1,暗中摸索
avrs=1,安之若素
avwy=1,安枕无忧
aw=1,安慰
awh=1,奥委会
awjw=1,爱屋及乌
awtr=1,暗无天日
ax=1,爱惜
axbx=1,爱信不信
axcz=1,暗箱操作
axfp=1,按需分配
axjl=1,爱新觉罗
axuy=1,暗香疏影
axym=1,爱惜羽毛
ay=1,安逸
ayh=1,奥运会
ayst=1,爱因斯坦
ayvv=1,安营扎寨
ayxv=1,安于现状
az=1,暗自
azb=1,艾滋病
azfm=1,爱憎分明
azpc=1,腌臜泼才
bael=1,北爱尔兰
bahx=1,不安好心
bbb=1,并不比
bbbk=1,不卑不亢
bbdn=1,百般刁难
bbds=1,巴巴多斯
bbdv=1,不必当真
bbdy=1,逼不得已
bbff=1,本本分分
bbi=1,办不成
bbiy=1,百步穿杨
bbjl=1,变本加厉
bbju=1,比比皆是
bbjx=1,步步惊心
bbk=1,不包括
bbku=1,必不可少
bbl=1,八百里
bbll=1,斑驳陆离
bbmm=1,爸爸妈妈
bbpp=1,白白胖胖
bbq=1,北半球
bbt=1,棒棒糖
bbtt=1,蹦蹦跳跳
bbu=1,并不是
bbum=1,帮不上忙
bbuu=1,并不是说
bbv=1,八宝粥
bbvd=1,并不知道
bbvj=1,八拜之交
bbvw=1,不辨真伪
bbvy=1,不白之冤
bbwn=1,被逼无奈
bbwx=1,白璧微瑕
bbwy=1,步步为营
bbxr=1,兵不血刃
bbxy=1,并不需要
bby=1,不必要
bbyd=1,并不一定
bbyl=1,彬彬有礼
bbyv=1,兵不厌诈
bbz=1,半辈子
bbzy=1,不必在意
bceb=1,不辞而别
bcfy=1,不测风云
bcgm=1,本草纲目
bchx=1,包藏祸心
bcjd=1,不存芥蒂
bckr=1,病从口入
bcl=1,不错了
bclk=1,不辞劳苦
bcmb=1,百辞莫辩
bcuq=1,抱残守缺
bcwn=1,博茨瓦纳
bcxl=1,不辞辛劳
bdb=1,不得不
bdbl=1,宝刀不老
bdbq=1,百毒不侵
bdbx=1,不大不小
bdby=1,百读不厌
bdei=1,背道而驰
bdeq=1,拔地而起
bdev=1,不得而知
bdhs=1,不得好死
bdi=1,不动产
bdil=1,表达出来
bdj=1,不对劲
bdjg=1,兵多将广
bdju=1,博大精深
bdjw=1,不懂就问
bdkh=1,遍地开花
bdkn=1,不大可能
bdky=1,不但可以
bdl=1,不得了
bdlg=1,布达拉宫
bdm=1,帮倒忙
bdmd=1,不达目的
bdmy=1,不但没有
bdnl=1,表达能力
bdq=1,不定期
bdqf=1,不得其法
bdqs=1,不得其所
bdqx=1,北斗七星
